Date,Open,High,Low,Close,Adj Close,Volume,MA50,MA100,MA200,Avg7d,Avg30d,Volume_Increase,MA50_Trend_Up,MA100_Trend_Up,MA_Crossover,MA_Crossover_Shifted,MA_Crossover_Recent,MA200_Flat
1993-01-29,43.96875,43.96875,43.75,43.9375,24.941391,1003200,,,,,,False,False,False,False,False,False,
1993-02-01,43.96875,44.25,43.96875,44.25,25.118797,480500,,,,,,False,False,False,False,False,False,
1993-02-02,44.21875,44.375,44.125,44.34375,25.17202,201300,,,,,,False,False,False,False,False,False,
1993-02-03,44.40625,44.84375,44.375,44.8125,25.438103,529400,,,,,,False,False,False,False,False,False,
1993-02-04,44.96875,45.09375,44.46875,45.0,25.544542,531500,,,,,,False,False,False,False,False,False,
1993-02-05,44.96875,45.0625,44.71875,44.96875,25.526787,492100,,,,,,False,False,False,False,False,False,
1993-02-08,44.96875,45.125,44.90625,44.96875,25.526787,596100,,,,547728.5714285715,,False,False,False,False,False,False,
1993-02-09,44.8125,44.8125,44.5625,44.65625,25.34939,122100,,,,421857.14285714284,,False,False,False,False,False,False,
1993-02-10,44.65625,44.75,44.53125,44.71875,25.384884,379600,,,,407442.85714285716,,False,False,False,False,False,False,
1993-02-11,44.78125,45.125,44.78125,44.9375,25.509052,19500,,,,381471.4285714286,,False,False,False,False,False,False,
1993-02-12,44.875,44.875,44.59375,44.59375,25.313921,42500,,,,311914.28571428574,,False,False,False,False,False,False,
1993-02-16,44.46875,44.46875,43.40625,43.46875,24.675314,374800,,,,289528.5714285714,,False,False,False,False,False,False,
1993-02-17,43.46875,43.53125,43.28125,43.4375,24.657564,210900,,,,249357.14285714287,,False,False,False,False,False,False,
1993-02-18,43.9375,43.9375,42.8125,43.40625,24.639818,378100,,,,218214.2857142857,,False,False,False,False,False,False,
1993-02-19,43.40625,43.5625,43.34375,43.5625,24.728516,34900,,,,205757.14285714287,,False,False,False,False,False,False,
1993-02-22,43.6875,43.78125,43.5625,43.71875,24.817234,513600,,,,224900.0,,False,False,False,False,False,False,
1993-02-23,43.84375,43.875,43.46875,43.6875,24.799484,373700,,,,275500.0,,False,False,False,False,False,False,
1993-02-24,43.71875,44.25,43.71875,44.25,25.118797,26300,,,,273185.71428571426,,False,False,False,False,False,False,
1993-02-25,44.21875,44.375,44.125,44.34375,25.17202,44500,,,,226000.0,,False,False,False,False,False,False,
1993-02-26,44.4375,44.4375,44.1875,44.40625,25.207476,66200,,,,205328.57142857142,,False,False,False,False,False,False,
1993-03-01,44.5625,44.5625,44.21875,44.28125,25.136524,66500,,,,160814.2857142857,,False,False,False,False,False,False,
1993-03-02,44.3125,44.9375,44.25,44.9375,25.509052,182400,,,,181885.7142857143,,False,False,False,False,False,False,
1993-03-03,45.0,45.15625,44.9375,45.125,25.615482,280100,,,,148528.57142857142,,False,False,False,False,False,False,
1993-03-04,45.1875,45.1875,44.875,44.875,25.473568,89500,,,,107928.57142857143,,False,False,False,False,False,False,
1993-03-05,44.9375,45.125,44.71875,44.75,25.402605,40000,,,,109885.71428571429,,False,False,False,False,False,False,
1993-03-08,44.84375,45.75,44.84375,45.75,25.970278,50800,,,,110785.71428571429,,False,False,False,False,False,False,
1993-03-09,45.65625,45.6875,45.5,45.59375,25.881571,169300,,,,125514.28571428571,,False,False,False,False,False,False,
1993-03-10,45.59375,45.6875,45.40625,45.6875,25.93479,194400,,,,143785.7142857143,,False,False,False,False,False,False,
1993-03-11,45.71875,45.84375,45.5,45.5625,25.863842,70900,,,,127857.14285714286,,False,False,False,False,False,False,
1993-03-12,45.1875,45.21875,44.8125,45.09375,25.597742,643600,,,,179785.7142857143,273610.0,False,False,False,False,False,False,
1993-03-15,45.0625,45.3125,45.0625,45.3125,25.721918,310800,,,,211400.0,250530.0,False,False,False,False,False,False,
1993-03-16,45.3125,45.4375,45.3125,45.3125,25.721918,30800,,,,210085.7142857143,235540.0,False,False,False,False,False,False,
1993-03-17,45.25,45.25,44.96875,45.03125,25.562275,21800,,,,205942.85714285713,229556.66666666666,False,False,False,False,False,False,
1993-03-18,45.21875,45.5,45.21875,45.3125,25.721918,59300,,,,190228.57142857142,213886.66666666666,False,False,False,False,False,False,
1993-03-19,45.28125,45.28125,45.03125,45.03125,25.683004,66900,,,,172014.2857142857,198400.0,False,False,False,False,False,False,
1993-03-22,44.59375,44.875,44.5625,44.78125,25.540409,183400,,,,188085.7142857143,188110.0,False,False,False,False,False,False,
1993-03-23,44.90625,44.9375,44.8125,44.875,25.593878,55200,,,,104028.57142857143,170080.0,False,False,False,False,False,False,
1993-03-24,44.8125,45.0625,44.59375,44.875,25.593878,37200,,,,64942.857142857145,167250.0,False,False,False,False,False,False,
1993-03-25,44.90625,45.25,44.84375,45.15625,25.75429,110100,,,,76271.42857142857,158266.66666666666,False,False,False,False,False,False,
1993-03-26,45.125,45.15625,44.875,44.90625,25.611696,101500,,,,87657.14285714286,161000.0,False,False,False,False,False,False,
